train__MAE,train__MSE,train__QLIKE,train__norm_MAE,train__norm_MSE,train__norm_QLIKE,train_loss,test__MAE,test__MSE,test__QLIKE,test__norm_MAE,test__norm_MSE,test__norm_QLIKE,test_loss,loss,lr
3.8100064073729196e-05,3.6968418977441324e-08,0.3438739817645184,0.03810006295754233,0.03696841896921973,0.3438739755959167,0.343874,3.6533668195554305e-05,5.9123597334886155e-09,0.38473004594224186,0.036533667195398856,0.005912359772570442,0.3847300386010717,0.38473004,0.40374717116355896,1e-04
3.80554350074518e-05,3.696843675717484e-08,0.3436184801285958,0.03805543389193033,0.03696843670109647,0.3436184757776481,0.3436185,3.647940359839289e-05,5.912692859190386e-09,0.3842399707810114,0.03647940266556892,0.005912692924545934,0.38423996572148883,0.38423997,0.28591030836105347,1e-04
3.80081173214809e-05,3.696849582893482e-08,0.3433574856483543,0.03800811631734089,0.0369684958327529,0.34335748142268474,0.34335744,3.642243716676456e-05,5.913182574792559e-09,0.38373208427731387,0.03642243614720656,0.0059131826022740955,0.38373207498634804,0.38373208,0.3113129734992981,1e-04
3.7960134846872874e-05,3.696858132515768e-08,0.34309861852062035,0.03796013376627022,0.03696858132040737,0.34309861495359856,0.34309864,3.636457039312717e-05,5.913714817832536e-09,0.38321900749641974,0.03636456940948699,0.005913714887347701,0.3832190027180488,0.38321897,0.4453997015953064,1e-04
3.7912776282460194e-05,3.696870071061894e-08,0.34285372118618207,0.037912775369016515,0.03696870075283011,0.3428537187420338,0.3428537,3.6308046972037146e-05,5.914352182643332e-09,0.38272398717450706,0.03630804584588059,0.00591435220983622,0.382723976996162,0.382724,0.21744759380817413,1e-04
3.789213739650628e-05,3.696873122790186e-08,0.3427359557030364,0.03789213647380492,0.036968731277655535,0.3427359547015784,0.34273595,3.628241947574979e-05,5.914512321804592e-09,0.3824947486558883,0.03628241847998302,0.00591451236438624,0.38249473948698637,0.38249472,0.22894246876239777,1e-04
3.7869475227944845e-05,3.696877576477072e-08,0.34261077498834885,0.03786947412544199,0.03696877573108872,0.34261077129764367,0.34261075,3.625462886902388e-05,5.914763890131483e-09,0.3822495000787027,0.03625462794740258,0.0059147639571093666,0.3822494939205023,0.3822495,0.2856789529323578,1e-04
3.783977767645377e-05,3.6968873513182826e-08,0.3424547034530249,0.03783977658517585,0.036968873485893776,0.3424547013983779,0.3424547,3.6218616588994595e-05,5.91517399849885e-09,0.3819356457023517,0.03621861568435053,0.0059151740553882995,0.3819356398061619,0.3819356,0.24704761803150177,1e-04
3.781295045769496e-05,3.6968960566978906e-08,0.34231428200922154,0.037812949395896966,0.03696896056354688,0.3423142798369638,0.34231424,3.618596041659698e-05,5.915529805372089e-09,0.38165095561840795,0.03618595939045597,0.005915529844496498,0.3816509458652065,0.38165095,0.33095502853393555,1e-04
3.778907070332843e-05,3.696903929350204e-08,0.34218127600303044,0.03778906965926468,0.03696903929168433,0.3421812715292041,0.34218127,3.6156004505096075e-05,5.915724296101163e-09,0.38138490080007104,0.036156003385060566,0.005915724345307275,0.3813848938908794,0.3813849,0.3944874107837677,1e-04
3.776470040042792e-05,3.6969105264864267e-08,0.34203993473384253,0.03776469936188985,0.036969105289320826,0.34203993245273917,0.3420399,3.612483091011731e-05,5.915838495877849e-09,0.381104827847434,0.03612482986018507,0.005915838558754488,0.3811048215619251,0.38110486,0.19367560744285583,1e-04
3.773728698973206e-05,3.696920235982491e-08,0.34189105613152615,0.03773728591338215,0.03696920238593344,0.34189105555468746,0.34189108,3.609067949955713e-05,5.916113699616892e-09,0.38080440422252637,0.03609067849790029,0.005916113733541878,0.3808043950635757,0.3808044,0.43210840225219727,1e-04
3.771632126362258e-05,3.6969249194074507e-08,0.34176544064275566,0.03771632027582816,0.03696924917689562,0.3417654361163237,0.3417654,3.6063143941131147e-05,5.916104461023423e-09,0.3805533338309005,0.03606314280769864,0.005916104487091739,0.38055332588478386,0.38055333,0.32369759678840637,1e-04
3.769105889345536e-05,3.696934070113677e-08,0.34161561957961295,0.037691057951573244,0.036969340750173524,0.34161561925806444,0.34161562,3.6029630533886046e-05,5.916048636665554e-09,0.38024641920669056,0.03602962953442355,0.005916048702988579,0.3802464132190766,0.38024643,0.27982068061828613,1e-04
3.7661538860970165e-05,3.696947203091833e-08,0.34144933981430475,0.0376615378306772,0.03696947204285902,0.3414493382604631,0.34144932,3.5991206042924884e-05,5.916140795624987e-09,0.37990127916555916,0.035991205042422966,0.005916140845587878,0.37990127459929024,0.3799013,0.31036144495010376,1e-04
3.7637932042673386e-05,3.696956889200224e-08,0.34131143686689797,0.03763793104064528,0.03696956884332782,0.3413114320225589,0.34131142,3.595977396377731e-05,5.916151562802485e-09,0.3796166123247494,0.03595977293509549,0.0059161515981932845,0.3796166044924054,0.3796166,0.21513772010803223,1e-04
3.762098926296138e-05,3.6969621443967304e-08,0.341202501925409,0.03762098830927572,0.03696962145613311,0.34120249849287015,0.34120253,3.5936157519076236e-05,5.916005334202934e-09,0.37939665957062735,0.035936156472031286,0.00591600537375682,0.3793966519864395,0.37939665,0.29611819982528687,1e-04
3.759858930222283e-05,3.696972548619808e-08,0.34107559810427657,0.03759858830505501,0.036969725525518256,0.3410755951311518,0.34107563,3.590685452371624e-05,5.91612502156012e-09,0.3791361710709303,0.03590685353072126,0.005916125063004493,0.37913616546431594,0.37913617,0.5653530359268188,1e-04
3.758161272474747e-05,3.696978313497386e-08,0.3409659327498788,0.03758161180167002,0.036969783165415084,0.3409659308204008,0.34096596,3.588321883526219e-05,5.916016866293414e-09,0.3789178343306096,0.03588321765771197,0.005916016919520277,0.3789178274808284,0.37891784,0.20427961647510529,1e-04
3.7560101251188985e-05,3.6969881667022436e-08,0.3408385781825303,0.037560100238745994,0.03696988166879102,0.34083857509712606,0.3408386,3.585423069830609e-05,5.916025146146623e-09,0.3786561780808209,0.03585422968082694,0.005916025190934891,0.37865617191656054,0.37865618,0.20162484049797058,1e-04
3.75348385983755e-05,3.6970024319669216e-08,0.3406974358244632,0.03753483768250168,0.03697002435518701,0.3406974335652586,0.34069744,3.582079693681131e-05,5.916130541274475e-09,0.3783587829232455,0.03582079580649706,0.0059161306051979026,0.3783587770595989,0.3783588,0.27285704016685486,1e-04
3.750874643938234e-05,3.697017376041713e-08,0.34055445340394824,0.037508745323397985,0.036970173792151416,0.34055445264563083,0.34055442,3.578635304430417e-05,5.9162545832922296e-09,0.3780535771559218,0.03578635209762124,0.0059162546451643995,0.3780535735024239,0.37805355,0.16962720453739166,1e-04
3.7479923962829334e-05,3.6970364666243654e-08,0.3404016299458185,0.037479922985652316,0.03697036471560412,0.3404016288524396,0.34040162,3.574863973489052e-05,5.916454641142847e-09,0.3777225667521647,0.03574863864823202,0.005916454704096893,0.3777225613367407,0.37772256,0.3304164707660675,1e-04
3.745291169534931e-05,3.697055620076335e-08,0.34025571161087104,0.037452910698326146,0.036970556204424306,0.34025570743600947,0.34025568,3.57127940945016e-05,5.916572890400108e-09,0.37740560476465085,0.035712793018006346,0.00591657291837934,0.37740559614540453,0.3774056,0.32357245683670044,1e-04
3.742486281365357e-05,3.69707749352588e-08,0.34011129470049556,0.03742486169159387,0.03697077491422316,0.3401112945235065,0.34011132,3.567619625868504e-05,5.916800254850986e-09,0.3770869456738571,0.035676195278278616,0.005916800299357468,0.3770869387066303,0.37708694,0.3822563588619232,1e-04
3.739291834982073e-05,3.6971045452978985e-08,0.3399529275667552,0.03739291738430261,0.03697104544642315,0.3399529248340126,0.33995295,3.563499066285366e-05,5.917168513165195e-09,0.3767334030639274,0.03563498960576096,0.005917168580640201,0.3767333946891115,0.3767334,0.31362366676330566,1e-04
3.736269768298389e-05,3.6971318567644784e-08,0.33980247222476956,0.03736269681710154,0.036971318588301647,0.33980246976393774,0.33980247,3.559549259279739e-05,5.917500458732741e-09,0.37639428439658473,0.03559549149100952,0.005917500505197842,0.3763942767669592,0.3763943,0.29152804613113403,1e-04
3.732898684386667e-05,3.6971645925746896e-08,0.33963730108733037,0.03732898579502943,0.03697164592675226,0.339637299088428,0.3396373,3.5551655835038816e-05,5.917899088882663e-09,0.37601699317733,0.035551655033066606,0.005917899181299066,0.3760169900927313,0.376017,0.35878658294677734,1e-04
3.729613646544801e-05,3.697197125044431e-08,0.33947188772246273,0.037296135559323686,0.036971971297702064,0.33947188741866313,0.3394719,3.550835229478609e-05,5.918266258540908e-09,0.3756412972556708,0.035508351312531806,0.005918266322163818,0.37564129118063694,0.3756413,0.2820855677127838,1e-04
3.726784490597513e-05,3.6972264387432976e-08,0.3393256228307349,0.037267843901401164,0.03697226437913978,0.3393256214083961,0.3393256,3.5470367421803625e-05,5.918493507172998e-09,0.3753083462921375,0.03547036655261542,0.0059184935752239105,0.3753083403449949,0.3753084,0.1571657657623291,1e-04
3.723922086199976e-05,3.697257739650542e-08,0.33918228977244025,0.037239219918700064,0.03697257747779645,0.33918228798711253,0.3391823,3.54322762245596e-05,5.918788681931642e-09,0.374977987684833,0.03543227519322149,0.005918788713361068,0.3749779810181226,0.37497798,0.3485174775123596,1e-04
